_id,barcode,category,categoryCode,cpg,name,topBrand,brandCode,cpg_id,cpg_ref
5f403231be37ce5f78d9ed15,511111615651,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f403231be37ce5f78d9ed14'}}",test brand @1598042673378,,TEST BRANDCODE @1598042673378,5f403231be37ce5f78d9ed14,Cogs
5bcdfc5990fa074576779a15,511111804604,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",V8 Hydrate,0.0,V8 HYDRATE,5a734034e4b0d58f376be874,Cogs
57d95805e4b0ac389136a2b5,511111002369,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Country Time,0.0,COUNTRY TIME,559c2234e4b06aca36af13c6,Cogs
540f240768abd3c7065097d4,511111102779,,,"{'$ref': 'Cogs', '$id': {'$oid': '56462469e4b0c05761111936'}}",Frito Lay,,,56462469e4b0c05761111936,Cogs
60074277be37ce360be63a00,511111419815,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '60074277be37ce360be639fe'}}",test brand @1611088503732,0.0,TEST BRANDCODE @1611088503732,60074277be37ce360be639fe,Cogs
585a96ade4b03e62d1ce0e84,511111401643,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Naked Juice,,NAKED JUICE,5332f5fbe4b03c9a25efd0ba,Cogs
592486bde410d61fcea3d122,511111800927,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",BREYERS,1.0,BREYERS,5332f5f6e4b03c9a25efd0b4,Cogs
5fa1c567be37ce402c4618f2,511111817215,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fa1c567be37ce402c4618ef'}}",test brand @1604437351646,0.0,TEST BRANDCODE @1604437351646,5fa1c567be37ce402c4618ef,Cogs
5d66d4666d5f3b6188d4f046,511111105275,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",Country Gardens Magazine,,511111105275,5d5d4fd16d5f3b23d1bc7905,Cogs
5dc2dab01dda2c0ad7da64af,511111906353,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",Girl Scouts Cookie Cereal,,GIRL SCOUT CEREAL,5332f5f3e4b03c9a25efd0ae,Cogs
53554c847a010fd9f8db0ed6,511111802792,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Miller Lite,0.0,MILLER LITE,5332f709e4b03c9a25efd0f1,Cogs
5a5d2727e4b0db471c2d042e,511111000167,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Third Shift Brewing,,THIRD SHIFT,5332f709e4b03c9a25efd0f1,Cogs
